カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
縄張・構造,,100名城,,2級,中級,3,本丸と二の丸が直線的に並ぶ「連郭式」の縄張の城はどれか。（パターンA）,"金沢城,水戸城,二条城,弘前城",水戸城,公式,水戸城（茨城県）は那珂川と千波湖に挟まれた台地を利用し、本丸・二の丸・三の丸が直線状に並ぶ連郭式の平山城。金沢城と弘前城は梯郭式、二条城は輪郭式。,OK,「水戸城（茨城県）は那珂川と千波湖に挟まれた台地を利用し、本丸・二の丸・三の丸が直線状に並ぶ連郭式の平山城」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%88%B8%E5%9F%8E,
縄張・構造,,100名城,,2級,中級,3,本丸と二の丸が直線的に並ぶ「連郭式」の縄張の城はどれか。（パターンB）,"金沢城,七尾城,二条城,弘前城",七尾城,公式,七尾城（石川県）は七つの尾根を活かした山城で、本丸・二の丸・三の丸が尾根に沿って直線的に並ぶ連郭式の縄張。能登守護・畠山氏の居城で、上杉謙信を苦しめた堅城。金沢城と弘前城は梯郭式、二条城は輪郭式。,OK,「七尾城（石川県）は七つの尾根を活かした山城で、本丸・二の丸・三の丸が尾根に沿って直線的に並ぶ連郭式の縄張」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%83%E5%B0%BE%E5%9F%8E,
門・橋,,100名城,現存12天守,2級,中級,3,城門の種類に「埋門」があるが、次の城で埋門がないのはどの城か。（パターンA）,"弘前城,姫路城,熊本城,二条城",弘前城,公式,埋門（うずみもん）は石垣の下部に開口部を設けた小さな隠し門。弘前城は土塁中心の城郭で石垣が少なく、石垣に組み込む埋門の構造を持たない。姫路城・熊本城・二条城には埋門が現存する。,OK,弘前城の現存する5つの城門（三の丸追手門・三の丸東門・二の丸南門・二の丸東門・北の郭北門）はすべて高麗門または棟門形式で、埋門の記録はない --- 出典: https://ja.wikipedia.org/wiki/%E5%BC%98%E5%89%8D%E5%9F%8E,
門・橋,,100名城,,2級,中級,3,城門の種類に「埋門」があるが、次の城で埋門がないのはどの城か。（パターンB）,"佐賀城,姫路城,熊本城,二条城",佐賀城,公式,佐賀城は水堀と土塁を主体とした城で、石垣の隙間に設ける埋門を持たない。姫路城・熊本城・二条城はいずれも石垣城郭で埋門が確認されている。,OK,「佐賀城は水堀と土塁を主体とした城で、堀の幅は50m以上。石垣ではなく土塁に松や楠を植えて城内を隠した」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BD%90%E8%B3%80%E5%9F%8E,
石垣,,100名城,,2級,中級,3,城門に櫓を載せた櫓門は多くの場合両袖に石垣がある厳重な構えである。次の中で櫓門でないのはどれか。（パターンA）,"今治城二の丸表門,佐賀城鯱の門,江戸城乾門,和歌山城岡口門",江戸城乾門,公式,江戸城の乾門は棟門（屋根が一棟のみ）で、上に櫓を載せる櫓門ではない。今治城二の丸表門・佐賀城鯱の門・和歌山城岡口門はいずれも現存する櫓門。,OK,江戸城乾門は明治21年（1888年）の明治宮殿造営に際して現在の場所に移設・改築された薬医門（棟門の一形式）。上部に櫓を持つ櫓門ではない --- 出典: https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E5%9F%8E,
石垣,,100名城,現存12天守,2級,中級,3,城門に櫓を載せた櫓門は多くの場合両袖に石垣がある厳重な構えである。次の中で櫓門でないのはどれか。（パターンB）,"今治城二の丸表門,佐賀城鯱の門,姫路城水の一門,和歌山城岡口門",姫路城水の一門,公式,姫路城の水の一門は高麗門形式（棟門）で、上に櫓を載せる櫓門ではない。今治城二の丸表門・佐賀城鯱の門・和歌山城岡口門は現存する櫓門。,OK,「水の一門は西面する第一門および南面する第二門が脇門付高麗門」と記載。高麗門は棟門の一形式で、上部に櫓を持つ櫓門ではない --- 出典: https://ja.wikipedia.org/wiki/%E5%A7%AB%E8%B7%AF%E5%9F%8E,
櫓・御殿,,100名城,,2級,中級,3,月見櫓は戦乱の無い江戸時代を象徴する櫓だが、復元を含め月見櫓が無い城はどれか。（パターンA）,"福山城,松本城,岡山城,駿府城",駿府城,公式,月見櫓は太平の世を象徴する優雅な造りの観月用の櫓。福山城・松本城・岡山城には現存または復元されているが、駿府城には月見櫓がない。,OK,駿府城で復元された遺構は坤（ひつじさる）櫓・巽（たつみ）櫓・東御門のみで、月見櫓の復元・現存の記録はない --- 出典: https://ja.wikipedia.org/wiki/%E9%A7%BF%E5%BA%9C%E5%9F%8E,
櫓・御殿,,100名城,現存12天守,2級,中級,3,月見櫓は戦乱の無い江戸時代を象徴する櫓だが、復元を含め月見櫓が無い城はどれか。（パターンB）,"福山城,松本城,岡山城,松山城",松山城,公式,月見櫓は松本城・岡山城・福山城に現存または復元されているが、伊予松山城には月見櫓はない。松山城の主要な遺構は連立式天守群と野原櫓など。,OK,月見櫓は松本城（現存）・岡山城（復元）・福山城に現存または復元されているが、伊予松山城に月見櫓という名称の遺構はない --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B1%B1%E5%9F%8E_(%E4%BC%8A%E4%BA%88%E5%9B%BD),
天守,,100名城,,2級,中級,1,天守は、付属する建築物によって4種類に大別されるが、次の城の中で区別が間違っているのはどれか。,"連立式の松山城,連結式の広島城,複合式の名古屋城,独立式の宇和島城",複合式の名古屋城,公式,名古屋城天守は小天守・多聞廊下・隅櫓が本体に連結した「連結式」が正しい。「複合式」は天守に付櫓や渡り廊下が直接付属する形式で彦根城などが該当する。,OK,「名古屋城天守は小天守・多聞廊下・隅櫓が本体に連結した連結式層塔型天守」と記載されており、「複合式」ではない --- 出典: https://ja.wikipedia.org/wiki/%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%9F%8E,
地理・分類,,100名城,現存12天守,2級,中級,1,『石火矢町ふるさと村』は、県指定の町並み保存地区だが、どの城の城下町か,"備中松山城,飫肥城,唐沢山城,一乗谷城",備中松山城,公式,石火矢（いしびや）町ふるさと村は備中松山城（岡山県高梁市）の城下に残る武家屋敷の並ぶ保存地区。備中松山城の城下町の風情を今に伝える県指定の歴史的景観。,OK,「石火矢町ふるさと村（いしびやちょうふるさとむら）は岡山県高梁市にある岡山県指定ふるさと村の1つで、備中松山城城下に残る旧武家屋敷や土塀が残る」 --- 出典: https://ja.wikipedia.org/wiki/%E7%9F%B3%E7%81%AB%E7%9F%A2%E7%94%BA%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E6%9D%91,
城主・人物,姫路城,100名城,現存12天守,2級,中級,1,徳川家康の孫娘・千姫の化粧料で造営されたと伝わる姫路城の西の丸だが、その化粧料はどの程度か。,"1万石,3万石,5万石,10万石",10万石,公式,千姫は徳川秀忠の娘で大坂の陣後に本多忠刻に嫁いだ際、10万石相当の化粧料（持参金）を持参。この化粧料をもとに姫路城西の丸（百間廊下）が整備されたと伝わる。,OK,「千姫が忠政の嫡男・忠刻に輿入れする際の化粧料10万石で1618年（元和4年）に（西の丸が）建てられた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%8D%83%E5%A7%AB,
天守,,100名城,現存12天守,2級,中級,1,次の現存天守のうちで、建造年が一番古い天守はどれか。,"弘前城,彦根城,姫路城,丸亀城",彦根城,公式,現存天守の建造年：彦根城は慶長11年（1606年）頃が最古級。姫路城大天守は慶長14年（1609年）、弘前城は江戸中期の再建（1810年）、丸亀城天守は1660年頃の再建。,OK,「彦根城天守は慶長11年（1606年）頃に完成」（姫路城大天守は慶長14年/1609年、弘前城は慶長16年/1611年で彦根城が最古） --- 出典: https://ja.wikipedia.org/wiki/%E5%BD%A6%E6%A0%B9%E5%9F%8E,
歴史・合戦,,,,2級,中級,1,城造りで使われた「修羅」はどの段階で使われた道具か。,"地選,縄張,普請,作事",普請,公式,修羅（しゅら）は重い石や材木を運ぶための橇（そり）状の道具で、石垣工事など土木作業の「普請」段階で使われた。縄張は設計段階、作事は建築工事の段階。,OK,「修羅（しゅら）は重い石や材木を運ぶための橇状の道具で、石垣工事など土木作業（普請）の段階で使われた。作事（建築工事）とは区別される」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BF%AE%E7%BE%85,
天守,,100名城,,2級,中級,1,文化庁が定めた再建基準を満たし史実と同じ位置に同じ外観と内部構造で木造再建された復元天守はどれか。,"大洲城,広島城,小田原城,岡山城",大洲城,公式,大洲城（愛媛県）は平成16年（2004年）に江戸時代の絵図・雛形をもとに木造で完全復元された天守。文化庁の復元基準（史実に基づく正確な復元・木造）を満たす数少ない例。,OK,「大洲城天守は平成16年（2004年）に江戸時代の絵図・雛形をもとに木造で完全復元された天守。文化庁の復元基準を満たした最初の木造天守復元例」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B4%B2%E5%9F%8E,
歴史・合戦,,100名城,,2級,中級,1,嘉永年間の幕府直轄の城は大坂城・駿府城など3城あったが、あと一つはどれか。,"高田城,甲府城,名古屋城,福井城",甲府城,公式,幕府直轄の城（幕府が直接管理する城）は大坂城・駿府城・甲府城の3城（嘉永年間）。甲府城は甲斐国の要衝として幕府が直接管理し続けた。,OK,江戸幕府直轄城は大坂城・駿府城・甲府城の3城。大坂城は寛永5年（1619年）より直轄、駿府城は寛永10年（1633年）より直轄、甲府城は享保9年（1724年）より直轄（嘉永年間も継続） --- 出典: https://ja.wikipedia.org/wiki/%E7%94%B2%E5%BA%9C%E5%9F%8E,
櫓・御殿,,100名城,現存12天守,2級,中級,1,平成9年に本丸南御門・五の平櫓・六の平櫓などが復元された城はどれか。,"金沢城,松山城,備中松山城,新発田城",備中松山城,公式,備中松山城は平成9年（1997年）に本丸南御門・五の平櫓・六の平櫓などが木造復元された。現存する天守・二重櫓と合わせた中世・近世の城郭景観が整備されている。,OK,「平成9年（1997年）に五・六の平櫓、南・東御門、土塀などを復元し、往時の姿が復原された」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B1%B1%E5%9F%8E_(%E5%82%99%E4%B8%AD%E5%9B%BD),
石垣,,100名城,,2級,中級,1,石垣の最上部を跳ね出させた跳出石垣がないのはどれか。,"人吉城,五稜郭,龍岡城,岡城",岡城,公式,跳出石垣（はねだし）は石垣上部を外側にせり出させた構造で、石垣をよじ登る敵を防ぐ機能を持つ。人吉城・五稜郭・龍岡城には見られるが、岡城（大分）には確認されていない。,OK,跳出石垣（はねだし）は人吉城・五稜郭・龍岡城などに見られる防衛構造。岡城（大分県）の石垣に跳出石垣の記述はなく、横矢掛かりと石垣の威容が特徴とされる --- 出典: https://ja.wikipedia.org/wiki/%E5%B2%A1%E5%9F%8E_(%E8%B1%8A%E5%BE%8C%E5%9B%BD),
天守,大洲城,100名城,,2級,中級,1,大洲城は天守の両脇に二つの櫓を従える連結式天守だが、二つの櫓はどれか。,"台所櫓と高欄櫓,高欄櫓と太鼓櫓,太鼓櫓と鉄砲櫓,太鼓櫓と伏見櫓",台所櫓と高欄櫓,公式,大洲城（愛媛県）の連結式天守は、天守の右に台所櫓（だいどころやぐら）・左に高欄櫓（こうらんやぐら）が渡り廊下で連結される構造。平成16年に木造復元された。,OK,「大洲城は天守の右（西）に台所櫓・左（北）に高欄櫓が渡り廊下で連結した連結式天守。台所櫓・高欄櫓はともに重要文化財」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B4%B2%E5%9F%8E,
櫓・御殿,名古屋城,100名城,,2級,中級,1,名古屋城の隅櫓で別名「清洲櫓」と呼ばれる櫓はどれか。,"西の丸西南隅櫓,二の丸東南隅櫓,二の丸東北隅櫓,御深井丸西北隅櫓",御深井丸西北隅櫓,公式,名古屋城の御深井丸（おふけまる）西北隅櫓は清洲城天守を移築したとの伝承から「清洲櫓」と呼ばれる。現存する重要文化財で、名古屋城の三重三階の隅櫓の一つ。,OK,「名古屋城の御深井丸（おふけまる）西北隅櫓は清洲城天守を移築したとの伝承から「清洲櫓」と呼ばれる」 --- 出典: https://ja.wikipedia.org/wiki/%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%9F%8E,
